Diputado,sexo,nacimiento2,edad,estadocivil,religion,Distrito (id),Fuerza,Distrito(nombre),Inicia mandato,Finaliza mandato,Bloque,Twitter,JuroPor,JuramentoEspecial,PosicionFrenteAlAborto,Fuente,Comentarios,,,
"Banfi, Karina",M,27/2/1972,46,Casada,Agnóstica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,UCR,@KBanfi,la Constitución Nacional ,,A Favor,http://www.eleconomista.com.ar/2018-02-aborto-divide-aguas-oficialismo/,https://twitter.com/Laoncediez/status/966800224424546305,,,
"Basterra, Luis Eugenio",V,14/10/1958,59,Soltero,Agnóstica,34,fpv,Formosa,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@LEBasterra,La Patria,,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Bazze, Miguel Angel",V,30/4/1955,63,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,UCR,@bazzemiguel,"Dios, la Patria y los Santos Evangelios",,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Benedetti, Atilio Francisco Salvador",V,1/1/1955,63,Casado,Católica,30,cambiemos,Entre Ríos,10/12/2017,09/12/2021,UCR,@atiliobenedetti,Dios y la Patria,,No confirmado,lt14digital.com.ar/benedetti-tras-reunirse-con-macri-no-descarto-votar-a-favor-de-la-despenalizacion/ …,,,,
"Berisso, Hernan",V,9/2/1970,48,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,PRO,@hernanberisso,la Constitución Nacional ,,No confirmado,,,,,
"Bevilacqua, Gustavo",V,5/12/1962,55,Casado,Católica,06,pais,Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@GusBevilacqua,,,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=137,,,,
"Bianchi, Ivana Maria",M,22/6/1965,52,Viuda,Católica,74,fpv,San Luis,10/12/2015,09/12/2019,UNIDAD JUSTICIALISTA,@ivana_bianchi,"Dios, la Patria y los Santos Evangelios",Por la provincia de San Luis y por mi nieto Juan Manuel,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=137,https://twitter.com/LuceroAnalia/status/977975228906303488,,,
"Borsani, Luis Gustavo",V,31/10/1956,61,Casado,Católica,50,cambiemos,Mendoza,10/12/2015,09/12/2019,UCR,@LuisBorsani,"Dios, la Patria y los Santos Evangelios",,A Favor,http://www.unidiversidad.com.ar/borsani-acompanara-la-legalizacion-del-aborto?utm_campaign=Novedad&utm_term=68,,,,
"Bossio, Diego Luis",V,9/9/1979,38,Casado,Católica,06,pj,Buenos Aires,10/12/2015,09/12/2019,JUSTICIALISTA,@diegobossio,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/Continental590/status/975007067235864576?s=08,,,,
"Brambilla, Sofia",M,16/3/1980,38,Casada,Católica,18,cambiemos,Corrientes,10/12/2017,09/12/2021,PRO,@Sofiabrambilla,Dios y la Patria,,No confirmado,https://twitter.com/algopordecirok/status/973166753114152960?s=19,"Entrevista radial, aclara que no va a tomar posición hasta ver proyecto definitivo y estudiar el tema",,,
"Britez, Maria Cristina",M,3/5/1981,37,Soltera,Católica,54,fpv,Misiones,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@cbritezmisiones,"Dios, la Patria y los Santos Evangelios","Por el pueblo de Misiones, por Perón, por Néstor y por nuestra conductora Cristina",A Favor,http://www.lapoliticaonline.com/nota/111321/,,,,
"Brizuela Del Moral, Eduardo Segundo",V,20/8/1944,73,Casado,Católica,10,cambiemos,Catamarca,10/12/2017,09/12/2021,FRENTE CIVICO Y SOCIAL DE CATAMARCA,@brizuela_moral,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.catamarcactual.com.ar/politica/2015/9/24/candidatos-opinaron-sobre-aborto-97848.html,https://www.elancasti.com.ar/politica-economia/2015/9/25/corpacci-favor-discutir-protocolo-para-aborto-274169.html,,,
"Brügge, Juan Fernando",V,24/6/1962,55,Divorciado,Católica,14,pj,Córdoba,10/12/2015,09/12/2019,CORDOBA FEDERAL,@juanfbrugge,,,En Contra,https://twitter.com/juanfbrugge/status/960467282475520000,,,,
"Bucca, Eduardo",V,23/6/1979,38,Casado,Católica,06,pj,Buenos Aires,10/12/2017,09/12/2021,JUSTICIALISTA,@BuccaBali,,,A Favor,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html,,,,
"Buil, Sergio Omar",V,9/2/1965,53,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@BuilSergio,"Dios, la Patria y los Santos Evangelios",,A Favor,https://twitter.com/BuilSergio/status/984528588748787714,,,,
