Diputado,sexo,nacimiento2,edad,estadocivil,religion,Distrito (id),Fuerza,Distrito(nombre),Inicia mandato,Finaliza mandato,Bloque,Twitter,JuroPor,JuramentoEspecial,PosicionFrenteAlAborto,Fuente,Comentarios,,,
"Espinoza, Fernando",V,30/12/1968,49,Casado,NO CONTESTA,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@FerEspinozaOK,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.diagonales.com/contenido/despenalizacin-del-aborto-conoc-qu-diputados-votaran-a-favor-en-contra-y-los-indecisos/7961,,,,
"Estevez, Gabriela Beatriz",M,2/11/1978,39,Casada,Atea,14,fpv,Córdoba,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@gabiestevezok,La Patria,"Por amor a mi pueblo, por Perón, por Evita, por Néstor, por Cristina y todos mis compañeros",A Favor,http://www.lavoz.com.ar/ciudadanos/aborto-el-proyecto-de-legalizacion-unio-todo-el-arco-politico,,,,
"Felix, Omar Chafi",V,30/6/1960,57,Casado,Católica,50,pj,Mendoza,10/12/2017,09/12/2021,SOMOS MENDOZA,,"Dios, la Patria y los Santos Evangelios",,En Contra,https://losandes.com.ar/article/view?slug=la-mitad-de-los-diputados-mendocinos-dice-que-votara-en-contra-del-aborto-legal,,,,
"Fernandez Langan, Ezequiel",V,14/3/1959,59,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,PRO,@eflangan,"Dios, la Patria y los Santos Evangelios",,No confirmado,,,,,
"Fernandez Patri, Gustavo Ramiro",V,20/7/1978,39,Casado,Católica,34,pj,Formosa,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,,"Dios, la Patria y los Santos Evangelios",,No confirmado,,,,,
"Fernandez, Carlos Alberto",V,9/12/1974,43,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,UCR,@CFernandezUCR,"Dios, la Patria y los Santos Evangelios",,A Favor,https://twitter.com/andresmalamud/status/968828778725171200,,,,
"Ferreyra, Araceli",M,10/7/1966,51,Separada,Atea,18,pj,Corrientes,10/12/2015,09/12/2019,PERONISMO PARA LA VICTORIA,@aracelidiputada,La Patria,"Por Rosa Guarú, la madre biológica del general San Martín, por Artigas y Andresito Guazurarí, y por Néstor y los treinta mil",A Favor,http://www.abortolegal.com.ar/proyecto-de-ley-presentado-por-la-campana/,,,,
"Filmus, Daniel",V,3/6/1955,63,Casado,Judía,02,fpv,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@FilmusDaniel,Dios y la Patria,,A Favor,https://losandes.com.ar/article/view?slug=la-mitad-de-los-diputados-mendocinos-dice-que-votara-en-contra-del-aborto-legal,,,,
"Flores, Danilo Adrian",V,8/12/1953,64,No contesta,NO CONTESTA,46,cambiemos,La Rioja,10/12/2017,09/12/2021,JUSTICIALISTA,@DaniloAFlores,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.riojalibre.com.ar/politica/90099-los-7-legisladores-riojanos-votarian-en-contra-del-proyecto/,,,,
"Flores, Hector",V,9/10/1970,47,Casado,Católica,06,pj,Buenos Aires,10/12/2017,09/12/2021,COALICION CIVICA,@totyflores,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.telam.com.ar/multimedia/audios/32721-toty-flores-se-manifesto-en-contra-del-aborto-y-a-favor-de-la-vida/,,,,
"Frana, Silvina Patricia",M,15/9/1962,55,Casada,Católica,82,fpv,Santa Fe,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@silvinafrana,"Dios, la Patria y los Santos Evangelios","Por la defensa inclaudicable de la soberanía política de la patria grande, la independencia económica y la justicia social",En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=137,,,,
"Franco, Jorge Daniel",V,16/10/1960,57,Casado,Católica,54,pj,Misiones,10/12/2015,09/12/2019,FRENTE DE LA CONCORDIA MISIONERO,@jorgefrancomnes,"Dios, la Patria y los Santos Evangelios",,A Favor,http://observatoriodelasalud.blogspot.com.ar/2016/11/la-reunion-en-diputados-para.html,,,,
"Fregonese, Alicia",M,9/1/1961,57,Casada,Católica,30,cambiemos,Entre Ríos,10/12/2017,09/12/2021,PRO,@aliciafregonese,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.diagonales.com/contenido/despenalizacin-del-aborto-conoc-qu-diputados-votaran-a-favor-en-contra-y-los-indecisos/7961,,,,
"Frizza, Gabriel Alberto",V,26/2/1968,50,Casado,Católica,14,cambiemos,Córdoba,10/12/2017,09/12/2021,PRO,@gabrielfrizza,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.lavoz.com.ar/politica/el-no-al-aborto-es-mayoria-entre-congresistas-cordobeses,,,,
"Furlan, Francisco Abel",V,11/2/1960,58,Casado,NO CONTESTA,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@FAbelFurlan,"Dios, la Patria y los Santos Evangelios",,No confirmado,,,,,
"Garcia, Alejandro",V,13/8/1967,50,Soltero,Católica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,PRO,@alejandrojg,la Constitución Nacional ,,En Contra,http://www.diagonales.com/contenido/despenalizacin-del-aborto-conoc-qu-diputados-votaran-a-favor-en-contra-y-los-indecisos/7961,,,,
"Garre, Nilda Celia",M,11/3/1945,73,Divorciada,Atea,02,fpv,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@nilda_garre,La Patria,,A Favor,https://twitter.com/nilda_garre/status/765980090157174784,,,,
"Garreton, Facundo",V,13/1/1974,44,Casado,Atea,90,cambiemos,Tucumán,10/12/2015,09/12/2019,PRO,@facundogarreton,la Constitución Nacional ,Por Tucumán y por la unidad de todos los argentinos,No confirmado,https://propuestas.facundogarreton.com/topic/5b048c178d2af4321e30185d,,,,
"Gayol, Yanina Celeste",M,7/12/1983,34,En convivencia,NO CONTESTA,30,cambiemos,Entre Ríos,10/12/2015,09/12/2019,PRO,@YaninaGayol,Dios y la Patria,,A Favor,A favor. Firmante de proyecto en diputados (expediente 0443-D-2018),,,,
"Ginocchio, Silvana Micaela",M,10/10/1965,52,Casada,Católica,10,pj,Catamarca,10/12/2017,09/12/2021,ELIJO CATAMARCA,,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html,,,,
"Gioja, Jose Luis",V,12/4/1949,69,Casado,Católica,70,fpv,San Juan,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@joseluisgioja,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Goicoechea, Horacio",V,7/5/1965,53,Divorciado,Católica,22,cambiemos,Chaco,10/12/2015,09/12/2019,UCR,@GHGoicoechea,"Dios, la Patria y los Santos Evangelios",,En Contra,http://libertaddigital.com.ar/Notas/Nota/1416528031-horacio-goicoechea-vamos-a-dar-el-debate-aunque-la-postura-sea-contraria-al-aborto#.WpP9qsRySrA.twitter,,,,
"Gonzalez Seligra, Nathalia Ines",M,10/12/1958,59,Casado,Católica,06,izq,Buenos Aires,10/12/2015,09/12/2019,PTS - FRENTE DE IZQUIERDA,@NathiGonzalezS,la Constitución Nacional ,"por los 30mil desaparecidos, los docentes, carlos fuentealba, niunamenos, la lucha es por acabar con la barbarie capitalista",A Favor,http://www.lapoliticaonline.com/nota/111321/,,,,
"Gonzalez, Alvaro Gustavo",V,,,No contesta,NO CONTESTA,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,PRO,@_alvarogonzalez,"Dios, la Patria y los Santos Evangelios",,No confirmado,https://twitter.com/LaLupa26/status/974811215770935297?s=19,,,,
"Gonzalez, Josefina Victoria",M,31/1/1973,45,Soltera,Atea,82,izq,Santa Fe,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,,Dios y la Patria,,A Favor,https://www.facebook.com/permalink.php?story_fbid=2039379896317482&id=1522953197960157,,,,
"Grana, Adrian Eduardo",V,12/9/1969,48,Casado,Atea,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@Adrian_Grana,La Patria,Por la unión de todos los argentinos,A Favor,https://www.laizquierdadiario.com/Primera-reunion-de-la-Campana-por-el-Derecho-al-Aborto-en-Diputados,,,,
"Grande, Martin",V,19/7/1959,58,Casado,NO CONTESTA,66,cambiemos,Salta,10/12/2017,09/12/2021,PRO,@MartinGrandeok,La Patria,,En Contra,https://www.eltribuno.com/salta/nota/2018-2-24-1-30-15-casi-todos-los-diputados-saltenos-contra-la-despenalizacion-del-aborto,,,,
"Grandinetti, Alejandro Ariel",V,8/9/1966,51,Casado,Católica,82,pais,Santa Fe,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@GrandinettiOK,"Dios, la Patria y los Santos Evangelios",,No confirmado,https://www.pagina12.com.ar/99297-apoyos-y-condenas,,,,
"Grosso, Leonardo",V,4/1/1983,35,Soltero,Católica,06,pj,Buenos Aires,10/12/2015,09/12/2019,PERONISMO PARA LA VICTORIA,@Leonardo_Grosso,La Patria,"Por el futuro de los humildes, de los trabajadores y la patria grande",A Favor,http://www.abortolegal.com.ar/proyecto-de-ley-presentado-por-la-campana/,,,,
"Guerin, Maria Isabel",M,2/5/1950,68,Divorciada,Católica,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@misabelguerin,"Dios, la Patria y los Santos Evangelios",,No confirmado,,,,,
"Hernandez, Martin Osvaldo",V,5/11/1972,45,Casado,Católica,34,cambiemos,Formosa,10/12/2015,09/12/2019,UCR,@mohernandez,"Dios, la Patria y los Santos Evangelios",,En Contra,http://lamañanaonline.com.ar/noticia/74124-hernandez-creo-en-la-vida-desde-la-concepcion,,,,
"Herrera, Luis Beder",V,26/5/1951,67,Casado,Católica,46,pj,La Rioja,10/12/2015,09/12/2019,JUSTICIALISTA,@BederHerrera,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.riojalibre.com.ar/politica/90099-los-7-legisladores-riojanos-votarian-en-contra-del-proyecto/,,,,
"Hers Cabral, Anabella Ruth",M,5/10/1969,48,Divorciada,NO CONTESTA,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,PRO,@AnabellaHers,"Dios, la Patria y los Santos Evangelios",,No confirmado,,"A favor, es firmante de proyecto en diputados (expediente) 0443-D-2018",,,
"Horne, Silvia Renee",M,23/7/1954,63,Divorciada,Católica,62,pj,Río Negro,10/12/2015,09/12/2019,PERONISMO PARA LA VICTORIA,@silviahorne,La Patria,,A Favor,http://www.telam.com.ar/notas/201606/153518-diputados-350-ongs-presentaron-proyecto-ley-aborto-legal.html,,,,
"Huczak, Stella Maris",M,13/8/1984,33,Soltera,Católica,50,cambiemos,Mendoza,10/12/2015,09/12/2019,PRO,@stellahuczak,,,En Contra,https://losandes.com.ar/article/view?slug=la-mitad-de-los-diputados-mendocinos-dice-que-votara-en-contra-del-aborto-legal,,,,
"Hummel, Astrid",M,1/12/1967,50,Divorciada,Católica,82,cambiemos,Santa Fe,10/12/2015,09/12/2019,PRO,@AstridHummel,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/AstridHummel/status/1004826832401813504,,,,
"Huss, Juan Manuel",V,19/4/1983,35,En convivencia,NO CONTESTA,30,fpv,Entre Ríos,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@juanchohuss,"Dios, la Patria y los Santos Evangelios","Por Perón, por Evita, por Néstor y Cristina",A Favor,http://www.eldiaonline.com/diputado-juan-manuel-huss-votara-favor-despenalizar-aborto/,,,,
"Iglesias, Fernando Adolfo",V,14/5/1957,61,Divorciado,Agnóstica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,PRO,@feriglesias,la Constitución Nacional ,,A Favor,https://www.infobae.com/opinion/2018/02/24/la-grieta-del-aborto/,,,,
"Igon, Santiago Nicolas",V,24/10/1977,40,Casado,NO CONTESTA,26,fpv,Chubut,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@igon_santiago,Dios y la Patria,"Por Néstor Kirchner, por Cristina Fernández de Kirchner, por el pueblo de Chubut y mis compañeros de militancia",A Favor,https://twitter.com/EleYrrazabal/status/968532450312941568,"No hay posiciones públicas, pero lxs diputadxs de La Cámpora, en general, están a favor.",,,
"Incicco, Lucas Ciriaco",V,2/7/1969,48,Casado,NO CONTESTA,82,cambiemos,Santa Fe,10/12/2015,09/12/2019,PRO,@Lucas_Incicco,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.pagina12.com.ar/99297-apoyos-y-condenas,,,,
"Infante, Hugo Orlando",V,,,No contesta,NO CONTESTA,86,otros,Santiago del Estero,10/12/2017,09/12/2021,FRENTE CIVICO POR SANTIAGO,@LitoInfante,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.elliberal.com.ar/noticia/401744/mayoria-legisladores-santiaguenos-votara-contra-despenalizar-aborto,En contra como todo el bloque del frente civico de santiago.,,,
"Kicillof, Axel",V,25/9/1971,46,Casado,Atea,02,fpv,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@kicillofok,La Patria,"Por Néstor, por Cristina, por los trabajadores y el pueblo",A Favor,https://www.youtube.com/watch?v=g5kXcfKrW0o&feature=youtu.be,,,,
"Kirchner, Maximo Carlos",V,16/2/1977,41,En convivencia,Católica,78,fpv,Santa Cruz,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@Maxickirchner,La Patria,Por los que nunca aflojaron ni aflojan ni van a aflojar,A Favor,,Se pronunció a favor en asamblea de La Cámpora y subió fotos con el pañuelo de la campaña por el aborto legal,,,
"Kosiner, Pablo Francisco Juan",V,21/10/1964,53,Casado,Católica,66,pj,Salta,10/12/2015,09/12/2019,JUSTICIALISTA,@Pablokosiner,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.clarin.com/politica/advertencia-miguel-pichetto-ley-aborto-gobierno-va-poder-controlar-debate_0_HykJaV0vf.html,,,,
"Kroneberger, Daniel Ricardo",V,6/12/1961,56,Casado,Católica,42,cambiemos,La Pampa,10/12/2015,09/12/2019,UCR,@Dkroneberger,"Dios, la Patria y los Santos Evangelios",,No confirmado,http://www.eldiariodelapampa.com.ar/index.php/112-portada/cuater/40565-el-aborto-interpela-a-legisladores-y-agita-las-redes-sociales,,,,
"Lacoste, Jorge Enrique",V,16/7/1964,53,Soltero,Católica,30,cambiemos,Entre Ríos,10/12/2017,09/12/2021,UCR,@jorgeelacoste,"Dios, la Patria y los Santos Evangelios",,No confirmado,http://www.paginapolitica.com/actualidad/legisladores-entrerrianos-adelantan-opinioacuten-sobre-la-despenalizacioacuten.htm,"No quiso adelantar posición: “No conozco el proyecto todavía, fundamentalmente en lo que hace a atacar las causas antes de ir a los",,,
"Larroque, Andres",V,26/1/1977,41,Soltero,NO CONTESTA,02,fpv,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@larroqueandres,La Patria,"Por Néstor, por Cristina y por toda la militancia",A Favor,http://www.parlamentario.com/noticia-107828.html,"No hay posiciones públicas, pero lxs diputadxs de La Cámpora, en general, están a favor.",,,
"Laspina, Luciano Andres",V,8/8/1972,45,Casado,Católica,82,cambiemos,Santa Fe,10/12/2017,09/12/2021,PRO,@LaspinaL,Dios y la Patria,,No confirmado,,,,,
"Lavagna, Marco",V,30/10/1974,43,Casado,Católica,02,pais,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@MarcoLavagna,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.clarin.com/politica/peronistas-aborto_0_BknfPIJdz.html,,,,
"Leavy, Sergio Napoleon",V,22/11/1963,54,Casado,Católica,66,fpv,Salta,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@ElOsoLeavy,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.eltribuno.com/salta/nota/2018-2-24-1-30-15-casi-todos-los-diputados-saltenos-contra-la-despenalizacion-del-aborto,,,,
"Lehmann, Maria Lucila",M,28/5/1983,35,Casada,Católica,82,cambiemos,Santa Fe,10/12/2017,09/12/2021,COALICION CIVICA,@lucilalehmann,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.pagina12.com.ar/99297-apoyos-y-condenas,,,,
"Lipovetzky, Daniel Andres",V,12/2/1967,51,Casado,Judía,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@Lipovetzky,La Patria,"Por la Patria, por Néstor y Cristina",A Favor,http://www.perfil.com/politica/el-aborto-se-metio-en-la-campana-y-altero-los-nervios-en-cambiemos-y-en-la-oposicion.phtml,,,,
"Llanos Massa, Ana Maria",M,29/9/1959,58,Divorciada,Católica,26,fpv,Chubut,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@DipAnaLlanos,"Dios, la Patria y los Santos Evangelios",Por la Legión de María,En Contra,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Llaryora, Martin Miguel",V,6/10/1972,45,Casado,Católica,14,pj,Córdoba,10/12/2017,09/12/2021,CORDOBA FEDERAL,@MartinLlaryora,"Dios, la Patria y los Santos Evangelios",,En Contra,http://diariotortuga.com/2017/10/19/m-llaryora-aquellos-que-no-tenemos-referencias-nacionales-es-muy-dificil-llegar-con-el-mensaje/,Probablemente en contra,,,
"Lopez Koenig, Leandro Gaston",V,16/9/1983,34,Soltero,Agnóstica,58,cambiemos,Neuquén,10/12/2015,09/12/2019,PRO,@lopezleandrog,Dios y la Patria,Para que todos los corruptos que se robaron nuestro país vayan presos,A Favor,https://twitter.com/radiounccalf/status/968466914963009537,,,,
"Lopez, Juan Manuel",V,21/10/1978,39,Casado,Católica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,COALICION CIVICA,@JnmLopez,La Patria,,A Favor,https://www.cronista.com/economiapolitica/El-aborto-legal-junto-71-firmas-y-entra-manana-al-Congreso-todos-los-nombres-que-adhieren-20180305-0101.html ,,,,
"Lospennato, Silvia Gabriela",M,21/12/1977,40,Casada,Católica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@slospennato,"Dios, la Patria y los Santos Evangelios",,A Favor,http://www.letrap.com.ar/nota/2018-2-23-18-37-0--abortolegal-el-gobierno-juega-con-fuegos-artificiales-en-el-congreso,,,,
"Lotto, Ines Beatriz",M,1/1/1953,65,Casada,Católica,34,fpv,Formosa,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,,La Patria,,No confirmado,,,,,
"Lousteau, Martin",V,8/12/1970,47,Casado,Agnóstica,02,otros,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,EVOLUCION RADICAL,@gugalusto,la Constitución Nacional ,,A Favor,https://www.laprimerapiedra.com.ar/2017/08/aborto-congreso-opinan-los-principales-candidatos-las-paso/,,,,
"Macha, Monica",M,17/2/1972,46,Casada,Católica,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@MoniMacha,La Patria,,A Favor,https://twitter.com/MoniMacha/status/967509817731502080,,,,
"Macias, Oscar Alberto",V,28/2/1960,58,Casado,Católica,18,pj,Corrientes,10/12/2015,09/12/2019,JUSTICIALISTA,,"Dios, la Patria y los Santos Evangelios",Por Corrientes y por mi padre,No confirmado,,,,,
"Maquieyra, Martin",V,10/11/1988,29,Soltero,Católica,42,cambiemos,La Pampa,10/12/2017,09/12/2021,PRO,@Martinmaq,Dios y la Patria,,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=137,,,,
"Marcucci, Hugo Maria",V,13/2/1964,54,Casado,Atea,82,cambiemos,Santa Fe,10/12/2015,09/12/2019,UCR,@hugomarcucci,la Constitución Nacional ,Para terminar con la grieta y la pobreza,A Favor,https://twitter.com/andresmalamud/status/971419997615554561,,,,
"Martiarena, Jose Luis",V,5/6/1960,58,Casado,Católica,38,pj,Jujuy,10/12/2017,09/12/2021,JUSTICIALISTA,@FteReyMilJusJuj,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.eltribuno.com/jujuy/nota/2018-2-28-0-0-0-dos-diputadas-jujenas-votaran-a-favor-de-la-ley-del-aborto,,,,
"Martinez Villada, Leonor Maria",M,24/3/1969,49,Casada,Católica,14,cambiemos,Córdoba,10/12/2015,09/12/2019,COALICION CIVICA,@leonormartinezv,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/leonormartinezv/status/965765538248118272,,,,
"Martinez, Norman Dario",V,3/9/1974,43,Soltero,Católica,58,fpv,Neuquén,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@dariomartinezpj,Dios y la Patria,,A Favor,http://www.rionegro.com.ar/argentina/el-aborto-legal-divide-opiniones-entre-los-diputados-de-la-region-MA4417691,,,,
"Martinez, Silvia Alejandra",M,6/5/1950,68,Casada,Católica,38,cambiemos,Jujuy,10/12/2015,09/12/2019,UCR,@dip_alemartinez,"Dios, la Patria y los Santos Evangelios",,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Masin, Maria Lucila",M,31/5/1984,34,En convivencia,Atea,22,fpv,Chaco,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@LuciMasin,Dios y la Patria,"Por el pueblo del Chaco, por Néstor y Cristina",A Favor,https://www.facebook.com/lucila.masin/posts/2102742659980977,,,,
"Massetani, Vanesa Laura",M,3/3/1982,36,Casada,Católica,82,pais,Santa Fe,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@vanesamassetani,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.parlamentario.com/noticia-107852.html,,,,
"Massot, Nicolas Maria",V,16/7/1984,33,Casado,Católica,14,cambiemos,Córdoba,10/12/2015,09/12/2019,PRO,@Nicolas_Massot,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Matzen, Lorena",M,23/2/1979,39,Casada,Católica,62,cambiemos,Río Negro,10/12/2017,09/12/2021,UCR,@lorematzen,"Dios, la Patria y los Santos Evangelios",,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Medina, Gladys",M,16/6/1985,32,En convivencia,Católica,90,cambiemos,Tucumán,10/12/2017,09/12/2021,JUSTICIALISTA POR TUCUMAN,@GladysMedinaOK,,,En Contra,https://www.youtube.com/watch?v=xcHit9MZ4aI,,,,
"Medina, Martin Nicolas",V,,,No contesta,NO CONTESTA,06,pj,Buenos Aires,10/12/2017,09/12/2021,PRO,@MEDINAMN,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/MEDINAMN/status/26066628119,Hay tuits suyos de entre 2010 y 2014 donde se muestra MUY en contra:  https://twitter.com/MEDINAMN/status/26066628119,,,
"Mendoza, Josefina",M,26/11/1983,34,En pareja,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,UCR,@JosefaMendo,La Patria,,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Mendoza, Mayra Soledad",M,16/5/1992,26,Soltera,Católica,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@mayrasmendoza,Dios y la Patria,"Por Néstor Kirchner, por Cristina y por el pueblo empoderado",A Favor,https://www.infobae.com/politica/2018/02/23/el-debate-por-el-aborto-legal-un-congreso-dividido-entre-el-papa-y-el-reclamo-feminista/,,,,
"Menna, Gustavo",V,1/11/1965,52,Casado,Católica,26,cambiemos,Chubut,10/12/2017,09/12/2021,UCR,@gustamenna,Dios y la Patria,,A Favor,https://www.youtube.com/watch?v=oqaL5Aca3ms&feature=youtu.be,,,,
"Mercado, Veronica",M,,,No contesta,NO CONTESTA,10,fpv,Catamarca,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@VeroMercadoJ,"Dios, la Patria y los Santos Evangelios",,A Favor,https://twitter.com/veromercadom/status/965635177769816064,,,,
"Mestre, Diego Matias",V,16/3/1978,40,Casado,Católica,14,cambiemos,Córdoba,10/12/2017,09/12/2021,UCR,@DiegoMMestre,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.lavoz.com.ar/politica/el-no-al-aborto-es-mayoria-entre-congresistas-cordobeses,"No hay opiniones publicas, pero el resto del radicalismo de Córdoba vota a favor, asi que probablemente el tambien.",,,
"Miranda, Pedro Ruben",V,10/1/1962,56,Casado,Católica,50,pj,Mendoza,10/12/2015,09/12/2019,JUSTICIALISTA,@prmirandaMza,"Dios, la Patria y los Santos Evangelios",,A Favor,https://losandes.com.ar/article/view?slug=la-mitad-de-los-diputados-mendocinos-dice-que-votara-en-contra-del-aborto-legal,,,,
"Moises, Maria Carolina",M,5/3/1975,43,Soltera,Católica,38,pj,Jujuy,10/12/2015,09/12/2019,JUSTICIALISTA,@carolinamoises,Dios y la Patria,,A Favor,http://www.parlamentario.com/noticia-107828.html,,,,
"Molina, Karina Alejandra",M,2/8/1972,45,Divorciada,Católica,46,cambiemos,La Rioja,10/12/2015,09/12/2019,PRO,@KarinaAleMolina,Dios y la Patria,,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=13,,,,
"Monaldi, Osmar Antonio",V,,,No contesta,NO CONTESTA,38,cambiemos,Jujuy,10/12/2017,09/12/2021,PRO,@OsmarMonaldi,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.jujuyalmomento.com/post/81519/aborto-legal-esto-votarian-los-diputados-jujenos.html,,,,
"Monfort, Marcelo Alejandro",V,19/1/1968,50,Divorciado,Católica,30,cambiemos,Entre Ríos,10/12/2015,09/12/2019,UCR,@monfortmarcelo,"Dios, la Patria y los Santos Evangelios",,No confirmado,,,,,
"Montenegro, Guillermo Tristan",V,30/12/1962,55,Divorciado,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,PRO,@gmontenegro_ok,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.adnsur.com.ar/2017/10/lo-dejo-debate-las-diferencias-menna-fueyo/,http://www.diagonales.com/contenido/despenalizacin-del-aborto-conoc-qu-diputados-votaran-a-favor-en-contra-y-los-indecisos/7961,,,
"Monzo, Emilio",V,26/9/1965,52,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@MonzoEmilio,"Dios, la Patria y los Santos Evangelios",,Se Abstiene,http://actorpolitico.com/nota/6666/mayra_mendoza_confia_en_tratar_el_proyecto_de_aborto_monzo_tiene_que_escuchar_lo_que_esta_sucediendo_en_la_calle/,,"VOTA SOLO EN CASO DE DESEMPATE, y si fuera el caso vota en contra",,
"Morales, Flavia",M,16/10/1985,32,En convivencia,Católica,54,pais,Misiones,10/12/2017,09/12/2021,FRENTE DE LA CONCORDIA MISIONERO,@flalomorales,"Dios, la Patria y los Santos Evangelios",,No confirmado,,,,,
