"","Provincia","Year","ENPpos","ENPbln"
"62","Formosa",2007,1.730716223,1.995
"69","Jujuy",2007,2.185547568,2.738
"76","La.Pampa",2007,3.261200977,4.243
"83","La.Rioja",2007,2.995097712,3.792
"90","Mendoza",2007,2.362905153,2.854
"97","Misiones",2007,1.946944474,2.481
"104","Neuquén",2007,4.164084988,5.03
"111","Río.Negro",2007,2.690043792,2.962
"118","Salta",2007,1.683103016,1.967
"125","San.Juan",2007,2.457732108,2.661
"132","San.Luis",2007,2.020247216,2.164
"139","Santa.Cruz",2007,1.955318914,2.213
"146","Santa.Fe",2007,3.620600029,3.964
"153","Santiago.del.Estero",2007,1.553856517,1.681
"160","Tierra.del.Fuego",2007,2.608972405,2.955
"167","Tucumán",2007,2.308885749,2.515
"174","Total",2007,3.409344905,3.927
"7","Buenos.Aires",2011,2.765499632,3
"14","Capital.Federal",2011,4.299366996,4.54
"21","Catamarca",2011,1.911452231,2.014
"28","Chaco",2011,2.149752011,2.212
"35","Chubut",2011,2.490795833,2.647
"42","Córdoba",2011,4.091214147,4.204
"49","Corrientes",2011,2.044601514,2.23
"56","Entre.Ríos",2011,2.740774057,3.364
"63","Formosa",2011,1.535998396,1.813
"70","Jujuy",2011,2.177377713,2.66
"77","La.Pampa",2011,2.597436427,3.262
"84","La.Rioja",2011,2.931414449,3.766
"91","Mendoza",2011,3.022656153,3.795
"98","Misiones",2011,2.083799284,2.158
"105","Neuquén",2011,2.440317228,2.739
"112","Río.Negro",2011,2.042658331,2.205
"119","Salta",2011,2.226321145,2.329
"126","San.Juan",2011,2.143240262,2.507
"133","San.Luis",2011,2.665522408,3.041
"140","Santa.Cruz",2011,1.721353411,1.942
"147","Santa.Fe",2011,2.962080499,3.111
"154","Santiago.del.Estero",2011,1.465220827,1.517
"161","Tierra.del.Fuego",2011,2.035135463,2.18
"168","Tucumán",2011,2.182767071,2.267
"175","Total",2011,3.20769392,3.494
